timestamp,cpu_percent,mem_percent,gpu_util_percent,gpu_mem_used_mb
1746395066.030128136,3.13%,21.5459%,0%,2%
1746395097.116474822,46.74%,21.5238%,0%,1%
1746395128.196389244,46.69%,21.4662%,0%,1%
1746395159.283591145,46.31%,21.4383%,0%,1%
1746395190.352795358,38.82%,21.7054%,0%,1%
1746395221.438343918,39.15%,21.4785%,0%,1%
1746395252.512765257,27.68%,21.6213%,0%,1%
1746395283.660391241,21.50%,21.7156%,0%,1%
1746395314.754582691,7.63%,21.6881%,0%,1%
1746395345.839123881,17.19%,21.4226%,0%,1%
1746395376.933408877,7.63%,21.6457%,0%,1%
1746395408.070942802,3.16%,20.0132%,0%,1%
1746395439.156237676,7.08%,19.9623%,0%,1%
1746395470.244738242,35.73%,19.9564%,0%,1%
1746395501.324924184,3.18%,21.8674%,0%,1%
1746395532.412372206,40.74%,22.2619%,0%,1%
1746395563.535718831,33.74%,22.2182%,0%,1%
1746395594.637270516,31.77%,22.2129%,0%,1%
1746395625.810141771,27.31%,22.2002%,0%,1%
1746395656.888236921,47.86%,22.2176%,0%,1%
1746395687.988512893,3.12%,20.2366%,0%,1%
1746395719.071440066,34.18%,22.4085%,0%,1%
1746395750.155575545,43.61%,22.3252%,0%,1%
1746395781.241918505,21.66%,22.491%,0%,1%
1746395812.319383222,2.87%,20.9223%,0%,1%
1746395843.404429169,46.47%,22.4293%,0%,1%
1746395874.486954578,2.28%,22.3326%,0%,1%
1746395905.571050042,33.58%,22.552%,0%,1%
1746395936.667212129,8.06%,20.7471%,3%,1%
1746395967.753220030,33.50%,20.7374%,2%,1%
1746395998.830131510,32.31%,20.755%,0%,1%
1746396029.915669009,23.67%,22.8123%,0%,1%
1746396061.004048518,18.27%,23.2175%,0%,1%
1746396092.157119695,52.48%,23.1149%,0%,1%
1746396123.249637316,25.27%,23.1028%,0%,1%
1746396154.397173151,48.16%,23.1163%,3%,1%
1746396185.492379365,14.41%,23.0974%,0%,1%
1746396216.572104011,45.94%,23.097%,0%,1%
1746396247.698057565,19.56%,23.0806%,0%,1%
1746396278.788257068,3.12%,21.0834%,0%,1%
1746396309.869720565,57.23%,23.3602%,0%,1%
1746396340.965654584,49.17%,23.2203%,4%,1%
1746396372.039335655,2.75%,23.3806%,0%,1%
1746396403.118373994,23.41%,23.6123%,0%,1%
1746396434.233529114,9.10%,23.5342%,0%,1%
1746396465.317076811,31.25%,23.6014%,0%,1%
1746396496.398373686,39.21%,23.3452%,0%,1%
1746396527.511370719,45.44%,23.3956%,14%,1%
1746396558.587055067,23.18%,23.5867%,0%,1%
1746396589.669202006,3.28%,21.6128%,0%,1%
1746396620.758579657,14.33%,21.8172%,0%,1%
1746396651.847582306,12.53%,21.7621%,0%,1%
1746396682.928124285,3.16%,24.2384%,0%,1%
1746396714.012653773,24.83%,24.5046%,0%,1%
1746396745.182625559,22.18%,24.3097%,0%,1%
1746396776.261065556,30.73%,24.2706%,0%,1%
1746396807.375980826,3.19%,24.3684%,0%,1%
1746396838.454168971,7.38%,24.2829%,0%,1%
1746396869.626022256,30.46%,24.2562%,0%,1%
1746396900.707332296,2.38%,23.9332%,0%,1%
1746396931.785793051,46.75%,24.2988%,0%,1%
1746396962.872418891,40.44%,24.3326%,0%,1%
1746396994.026346855,2.56%,23.5181%,0%,1%
1746397025.102971146,40.81%,24.5684%,0%,1%
1746397056.190445277,43.30%,24.4611%,0%,1%
1746397087.275203324,22.93%,22.4142%,0%,1%
1746397118.368984966,14.62%,22.3796%,0%,1%
1746397149.457353204,11.80%,22.3931%,0%,1%
1746397180.546411848,2.66%,22.93%,0%,1%
1746397211.632432943,51.59%,25.4265%,21%,1%
1746397242.722050605,11.13%,25.0218%,0%,1%
1746397273.833995274,3.22%,24.9443%,0%,1%
1746397304.993933541,3.12%,24.913%,0%,1%
1746397336.071118213,3.16%,24.9083%,0%,1%
1746397367.230889347,3.15%,22.706%,0%,1%
1746397398.318392272,52.30%,25.1397%,0%,1%
1746397429.406977938,36.35%,25.0146%,0%,1%
1746397460.500629987,3.03%,22.665%,1%,1%
1746397491.591431489,20.75%,25.0082%,0%,1%
1746397522.724120567,49.04%,25.2659%,0%,1%
1746397553.813678406,3.22%,25.0095%,0%,1%
1746397584.894965393,3.12%,22.6693%,0%,1%
1746397615.981926562,54.09%,25.0392%,0%,1%
1746397647.071552389,47.19%,24.9704%,0%,1%
1746397678.158522324,45.74%,25.2996%,3%,1%
1746397709.231513992,3.15%,25.0169%,0%,1%
1746397740.308436252,9.56%,25.1223%,0%,1%
1746397771.380247736,10.69%,22.7859%,0%,1%
1746397802.463981952,22.80%,22.8105%,0%,1%
1746397833.542891469,16.26%,22.8169%,0%,1%
1746397864.629663323,3.12%,22.9824%,0%,1%
1746397895.709060415,3.10%,25.8835%,0%,1%
1746397926.791190593,46.51%,25.7969%,0%,1%
1746397957.893186983,46.64%,25.692%,0%,1%
1746397989.036211416,6.57%,25.7142%,0%,1%
1746398020.124218897,3.12%,22.9169%,0%,1%
1746398051.210900031,70.10%,26.5767%,0%,1%
1746398082.308942214,3.34%,25.938%,0%,1%
1746398113.409036767,36.77%,25.8115%,0%,1%
1746398144.543122053,3.00%,25.4512%,0%,1%
1746398175.619895374,3.15%,26.0274%,0%,1%
1746398206.782124948,44.04%,25.8938%,0%,1%
1746398237.909402546,16.48%,25.8942%,2%,1%
1746398268.998899251,2.90%,22.9142%,0%,1%
1746398300.076905284,32.59%,26.3655%,0%,1%
1746398331.263199785,19.18%,25.908%,0%,1%
1746398362.398715134,62.31%,25.838%,0%,1%
1746398393.502891252,3.06%,22.9993%,0%,1%
1746398424.581683710,63.37%,25.9644%,0%,2%
1746398455.672495882,3.94%,25.988%,0%,1%
1746398486.753046918,21.70%,23.1092%,0%,1%
1746398517.853948244,16.36%,23.1007%,0%,1%
1746398548.941604266,2.75%,23.1216%,0%,1%
1746398580.019881317,3.13%,26.1095%,0%,1%
1746398611.105755127,14.89%,26.7465%,0%,1%
1746398642.189167840,12.46%,26.6592%,0%,1%
1746398673.271127478,3.19%,26.4376%,0%,1%
1746398704.354579395,56.64%,26.3641%,0%,1%
1746398735.449975655,48.90%,26.3454%,5%,1%
1746398766.529967102,30.71%,26.5613%,0%,1%
1746398797.608653100,33.88%,26.5526%,0%,1%
1746398828.721700086,3.16%,26.4343%,0%,1%
1746398859.799936571,39.78%,26.3714%,0%,1%
1746398890.893613717,16.14%,26.3474%,0%,1%
1746398922.000276198,3.19%,26.3476%,0%,1%
1746398953.078786076,58.54%,26.3565%,0%,1%
1746398984.180237514,16.88%,26.3409%,0%,1%
1746399015.264462561,3.12%,23.2131%,0%,2%
1746399046.341696215,3.12%,26.4373%,0%,1%
1746399077.417780563,58.46%,26.6068%,0%,1%
1746399108.513968227,21.26%,26.7107%,0%,1%
1746399139.636473334,30.59%,26.549%,0%,1%
1746399170.750824456,7.09%,26.4952%,0%,1%
1746399201.840537437,4.08%,26.483%,0%,1%
1746399232.929064924,4.13%,26.4842%,0%,1%
1746399264.017097963,3.13%,26.4852%,0%,1%
1746399295.105103421,4.06%,26.4767%,0%,1%
1746399326.192195385,10.05%,26.4779%,0%,2%
1746399357.274264318,13.86%,26.4591%,0%,1%
1746399388.359415924,4.28%,26.4801%,0%,1%
1746399419.446189080,31.93%,26.4865%,0%,1%
1746399450.592440987,2.94%,23.296%,0%,1%
1746399481.682012933,56.15%,26.2597%,0%,1%
1746399512.774159157,5.79%,26.5898%,0%,1%
1746399543.863325532,3.12%,26.7355%,0%,1%
1746399574.949830726,3.16%,26.5883%,0%,1%
1746399606.028963272,33.50%,26.5711%,0%,1%
1746399637.186487070,59.17%,26.5612%,0%,2%
1746399668.333588580,58.81%,26.5393%,0%,1%
1746399699.427604321,4.16%,26.5623%,0%,1%
