timestamp,cpu_percent,mem_percent,gpu_util_percent,gpu_mem_used_mb
1746831489.888306913,3.22%,21.1813%,0%,1%
1746831520.976019720,2.00%,21.5097%,0%,1%
1746831552.053984226,2.13%,21.3492%,5%,1%
1746831583.134220563,3.22%,21.3007%,0%,1%
1746831614.219925775,3.32%,21.0984%,0%,1%
1746831645.303031463,3.12%,21.1278%,0%,1%
1746831676.385525182,3.25%,27.3876%,0%,1%
1746831707.465770406,16.13%,28.2147%,0%,1%
1746831738.552949231,3.15%,23.3023%,0%,1%
1746831769.641935606,3.07%,23.3305%,0%,1%
1746831800.723154966,52.62%,27.5843%,0%,1%
1746831831.795233635,18.66%,28.2961%,19%,1%
1746831862.888559077,3.19%,20.973%,0%,1%
1746831893.969322372,3.16%,21.0841%,0%,1%
1746831925.049795513,36.40%,27.9336%,0%,1%
1746831956.163059984,3.19%,21.2165%,0%,1%
1746831987.250246694,3.16%,21.0751%,0%,1%
1746832018.330770951,2.60%,22.6465%,0%,1%
1746832049.412322023,3.22%,28.3535%,0%,1%
1746832080.494776199,3.16%,21.1121%,0%,1%
1746832111.577543471,2.00%,22.8399%,0%,1%
1746832142.667248855,16.05%,28.4229%,0%,1%
1746832173.761524197,3.16%,21.0856%,0%,1%
1746832204.841332672,3.38%,21.0891%,3%,1%
1746832235.929448114,2.78%,21.6851%,0%,1%
1746832267.010788861,16.39%,28.6777%,0%,1%
1746832298.093552217,3.13%,21.4013%,0%,1%
1746832329.181777625,3.22%,21.1823%,0%,1%
1746832360.270135090,1.97%,24.9608%,0%,1%
1746832391.356519195,19.14%,28.653%,0%,1%
1746832422.455231218,3.19%,21.34%,0%,1%
1746832453.546435151,3.16%,21.3346%,0%,1%
1746832484.626915966,1.94%,23.5793%,0%,1%
1746832515.707036366,3.12%,28.6489%,0%,1%
1746832546.786321679,3.22%,21.3591%,0%,1%
1746832577.865772272,3.00%,21.0617%,0%,1%
1746832608.945985966,3.19%,28.092%,0%,1%
1746832640.021303379,3.38%,21.2835%,0%,1%
1746832671.103076778,3.22%,21.2061%,0%,1%
1746832702.187062776,1.62%,24.8872%,0%,1%
1746832733.266019674,33.82%,28.6272%,0%,1%
1746832764.364905162,3.22%,23.7259%,0%,1%
1746832795.454341761,3.00%,21.0921%,9%,1%
1746832826.541345498,22.46%,27.6638%,0%,1%
1746832857.623293765,15.78%,29.0533%,0%,1%
1746832888.706704013,3.21%,24.3259%,0%,1%
1746832919.795798391,3.12%,24.2707%,0%,1%
1746832950.884167859,2.78%,26.9544%,0%,1%
1746832981.964232363,3.34%,29.0753%,0%,1%
1746833013.042865754,3.22%,24.9729%,0%,1%
1746833044.129872246,3.22%,24.9115%,0%,1%
1746833075.209614847,3.16%,25.4808%,0%,1%
1746833106.290568860,13.61%,29.2202%,0%,1%
1746833137.372018311,3.16%,24.1933%,0%,1%
1746833168.453652619,3.35%,21.0901%,2%,1%
1746833199.534679549,3.06%,25.0115%,0%,1%
1746833230.614983522,3.16%,29.1436%,0%,1%
1746833261.703317333,4.65%,26.1025%,0%,1%
1746833292.802583495,3.13%,24.3997%,0%,1%
1746833323.882049127,2.62%,25.122%,0%,1%
1746833354.973301992,47.07%,29.4035%,0%,1%
1746833386.065152287,3.15%,25.1688%,0%,1%
1746833417.146775274,3.22%,24.3156%,0%,1%
1746833448.240359631,3.03%,23.631%,0%,1%
1746833479.323164023,3.25%,29.3313%,0%,1%
1746833510.401381194,2.97%,24.3987%,0%,1%
